# time	pulse
0.000000000000000000e+00	3.019999999999999646e-17
3.916835999999999929e-03	1.250586700000000037e-02
7.833671000000000384e-03	2.930864899999999912e-02
1.175050700000000031e-02	5.131039700000000064e-02
1.566734200000000077e-02	7.952810400000000224e-02
1.958417800000000070e-02	1.150943119999999903e-01
2.350101299999999768e-02	1.592538520000000013e-01
2.741784899999999761e-02	2.133557330000000196e-01
3.133468500000000101e-02	2.788390660000000243e-01
3.525152000000000146e-02	3.572118349999999776e-01
3.916835600000000139e-02	4.500212539999999817e-01
4.308519099999999491e-02	5.588143839999999418e-01
4.700202700000000178e-02	6.850877020000000206e-01
5.091886299999999477e-02	8.302243220000000701e-01
5.483569799999999522e-02	9.954176559999999840e-01
5.875253400000000209e-02	1.181580459999999944e+00
6.266936900000000255e-02	1.389238411000000006e+00
6.658620499999999554e-02	1.618407673000000102e+00
7.050304000000000293e-02	1.868456284999999939e+00
7.441987599999999592e-02	2.137949686999999876e+00
7.833671200000000279e-02	2.424481278000000017e+00
8.225354699999999630e-02	2.724489578999999662e+00
8.617038300000000317e-02	3.033064353000000324e+00
9.008721800000001056e-02	3.343744888000000248e+00
9.400405400000000355e-02	3.648314628000000059e+00
9.792088899999999707e-02	3.936597330000000117e+00
1.018377250000000039e-01	4.196260998999999714e+00
1.057545609999999969e-01	4.412636941999999785e+00
1.096713959999999904e-01	4.568562341999999887e+00
1.135882319999999973e-01	4.644255783000000193e+00
1.175050669999999908e-01	4.617236066999999444e+00
1.214219030000000116e-01	4.462295448999999969e+00
1.253387390000000046e-01	4.151538988000000430e+00
1.292555740000000120e-01	3.654502048000000336e+00
1.331724099999999911e-01	2.938357966000000321e+00
1.370892449999999985e-01	1.968227574000000146e+00
1.410060810000000053e-01	7.076014499999999652e-01
1.449229159999999850e-01	-8.811154529999999374e-01
1.488397519999999918e-01	-2.835928959999999943e+00
1.527565879999999987e-01	-5.194445063999999945e+00
1.566734230000000061e-01	-7.992920879999999784e+00
1.605902590000000130e-01	-1.126517798000000070e+01
1.645070939999999926e-01	-1.504138282000000082e+01
1.684239299999999995e-01	-1.934670364999999848e+01
1.723407660000000063e-01	-2.419985793000000029e+01
1.762576010000000137e-01	-2.961156996000000063e+01
1.801744369999999928e-01	-3.558296357999999771e+01
1.840912720000000002e-01	-4.210392075000000034e+01
1.880081080000000071e-01	-4.915144223000000068e+01
1.919249430000000145e-01	-5.668805189999999783e+01
1.958417789999999936e-01	-6.466029143999999462e+01
1.997586150000000005e-01	-7.299735594000000560e+01
2.036754500000000079e-01	-8.160992473000000302e+01
2.075922860000000147e-01	-9.038924382000000435e+01
2.115091210000000221e-01	-9.920651748000000225e+01
2.154259570000000013e-01	-1.079126657000000193e+02
2.193427919999999809e-01	-1.163385023000000018e+02
2.232596280000000155e-01	-1.242953841000000068e+02
2.271764639999999946e-01	-1.315763759000000164e+02
2.310932989999999743e-01	-1.379579676999999833e+02
2.350101350000000089e-01	-1.432023709000000053e+02
2.389269699999999885e-01	-1.470604076999999847e+02
2.428438060000000231e-01	-1.492749948000000018e+02
2.467606420000000023e-01	-1.495852080999999885e+02
2.506774769999999819e-01	-1.477308955000000026e+02
2.545943130000000165e-01	-1.434577915000000132e+02
2.585111480000000239e-01	-1.365230660999999941e+02
2.624279840000000030e-01	-1.267012247999999914e+02
2.663448190000000104e-01	-1.137902569000000170e+02
2.702616549999999895e-01	-9.761791490999999610e+01
2.741784910000000242e-01	-7.804799205999999856e+01
2.780953260000000316e-01	-5.498645262000000145e+01
2.820121620000000107e-01	-2.838726046000000025e+01
2.859289970000000181e-01	1.742255501999999900e+00
2.898458329999999972e-01	3.533666225000000338e+01
2.937626680000000046e-01	7.226847184000000368e+01
2.976795039999999837e-01	1.123451340999999957e+02
3.015963400000000183e-01	1.553071174000000099e+02
3.055131750000000257e-01	2.008272060000000181e+02
3.094300110000000048e-01	2.485111220000000287e+02
3.133468460000000122e-01	2.978995565000000170e+02
3.172636819999999913e-01	3.484716626000000019e+02
3.211805180000000259e-01	3.996500353000000132e+02
3.250973530000000333e-01	4.508071643000000108e+02
3.290141890000000124e-01	5.012733107999999902e+02
3.329310239999999643e-01	5.503457220999999890e+02
3.368478599999999989e-01	5.972990584000000354e+02
3.407646950000000063e-01	6.413968717000000197e+02
3.446815310000000410e-01	6.819039400999999998e+02
3.485983670000000201e-01	7.180992311000001109e+02
3.525152020000000275e-01	7.492892421999999897e+02
3.564320379999999511e-01	7.748214416000000710e+02
3.603488729999999585e-01	7.940975214000000051e+02
3.642657089999999931e-01	8.065861652999999478e+02
3.681825450000000277e-01	8.118350312999999687e+02
3.720993799999999796e-01	8.094816582999999355e+02
3.760162160000000142e-01	7.992630207000000837e+02
3.799330510000000216e-01	7.810234753999999384e+02
3.838498870000000562e-01	7.547208779999999706e+02
3.877667220000000081e-01	7.204306798999999728e+02
3.916835579999999872e-01	6.783478622999999743e+02
3.956003939999999663e-01	6.287866079000000354e+02
3.995172289999999737e-01	5.721776654000000235e+02
4.034340650000000084e-01	5.090634130999999911e+02
4.073509000000000158e-01	4.400906825000000140e+02
4.112677359999999949e-01	3.660014593999999306e+02
4.151845710000000023e-01	2.876216271000000120e+02
4.191014070000000369e-01	2.058479686999999956e+02
4.230182429999999605e-01	1.216336871000000031e+02
4.269350779999999679e-01	3.597273807999999917e+01
4.308519140000000025e-01	-5.011669684999999674e+01
4.347687490000000099e-01	-1.356092510999999945e+02
4.386855849999999890e-01	-2.194895658000000367e+02
4.426024210000000236e-01	-3.007692703000000165e+02
4.465192560000000310e-01	-3.785033916000000431e+02
4.504360920000000101e-01	-4.518058474999999703e+02
4.543529270000000175e-01	-5.198637022999999999e+02
4.582697629999999966e-01	-5.819498952000000145e+02
4.621865979999999485e-01	-6.374341879999999492e+02
4.661034339999999832e-01	-6.857921259999999393e+02
4.700202700000000178e-01	-7.266118517000001020e+02
4.739371050000000252e-01	-7.595986662999999908e+02
4.778539410000000043e-01	-7.845772841000000426e+02
4.817707760000000117e-01	-8.014917847000000393e+02
4.856876120000000463e-01	-8.104033149000000549e+02
4.896044470000000537e-01	-8.114856489000000010e+02
4.935212829999999773e-01	-8.050187564999999950e+02
4.974381190000000119e-01	-7.913805756000000429e+02
5.013549539999999638e-01	-7.710372173999999177e+02
5.052717899999999984e-01	-7.445318628999999646e+02
5.091886249999999503e-01	-7.124726311000000578e+02
5.131054609999999849e-01	-6.755197106000000531e+02
5.170222970000000196e-01	-6.343720557999998846e+02
5.209391320000000825e-01	-5.897539421999999831e+02
5.248559680000000061e-01	-5.424016702999999779e+02
5.287728029999999579e-01	-4.930506883999999559e+02
5.326896389999999926e-01	-4.424233848000000080e+02
